country_id,year_id,indicator_id,sex_id,Value
61,2013-01-01,1,1,88.11
61,2014-01-01,1,1,82.72
61,2015-01-01,1,1,78.31
61,2016-01-01,1,1,74.03
61,2017-01-01,1,1,69.58
61,2018-01-01,1,1,67.16
61,2019-01-01,1,1,65.84
61,2020-01-01,1,1,63.94
61,2021-01-01,1,1,63.19
62,2011-01-01,1,1,54.24
62,2012-01-01,1,1,51.06
62,2013-01-01,1,1,50.67
62,2014-01-01,1,1,51.36
62,2015-01-01,1,1,49.52
62,2016-01-01,1,1,45.12
62,2017-01-01,1,1,38.81
62,2018-01-01,1,1,34.66
62,2019-01-01,1,1,30.97
62,2020-01-01,1,1,29.08
62,2021-01-01,1,1,31.65
63,2011-01-01,1,1,9.0
63,2012-01-01,1,1,8.55
63,2013-01-01,1,1,8.07
63,2014-01-01,1,1,8.11
63,2015-01-01,1,1,8.32
63,2016-01-01,1,1,9.51
63,2017-01-01,1,1,8.62
63,2018-01-01,1,1,8.0
63,2019-01-01,1,1,7.52
63,2020-01-01,1,1,7.42
63,2021-01-01,1,1,7.46
64,2011-01-01,1,1,68.77
64,2012-01-01,1,1,68.45
64,2013-01-01,1,1,68.99
64,2014-01-01,1,1,69.03
64,2015-01-01,1,1,70.0
64,2016-01-01,1,1,68.04
64,2017-01-01,1,1,65.9
64,2018-01-01,1,1,67.22
64,2019-01-01,1,1,66.58
64,2020-01-01,1,1,65.15
64,2021-01-01,1,1,64.18
65,2011-01-01,1,1,9.47
65,2012-01-01,1,1,8.51
65,2013-01-01,1,1,8.04
65,2014-01-01,1,1,7.9
65,2015-01-01,1,1,8.09
65,2016-01-01,1,1,8.51
65,2017-01-01,1,1,8.37
65,2018-01-01,1,1,8.24
65,2019-01-01,1,1,8.31
65,2020-01-01,1,1,8.42
65,2021-01-01,1,1,8.48
66,2011-01-01,1,1,38.7
66,2012-01-01,1,1,37.73
66,2013-01-01,1,1,36.59
66,2014-01-01,1,1,35.11
66,2015-01-01,1,1,34.96
66,2016-01-01,1,1,34.6
66,2017-01-01,1,1,34.69
66,2018-01-01,1,1,34.55
66,2019-01-01,1,1,34.1
66,2020-01-01,1,1,33.47
66,2021-01-01,1,1,32.72
67,2011-01-01,1,1,90.54
67,2012-01-01,1,1,90.9
67,2013-01-01,1,1,83.34
67,2014-01-01,1,1,81.6
67,2015-01-01,1,1,80.39
67,2016-01-01,1,1,77.79
67,2017-01-01,1,1,78.61
67,2018-01-01,1,1,76.28
67,2019-01-01,1,1,71.73
67,2020-01-01,1,1,66.85
67,2021-01-01,1,1,64.05
68,2011-01-01,1,1,143.75
68,2012-01-01,1,1,140.31
68,2013-01-01,1,1,138.19
68,2014-01-01,1,1,135.47
68,2015-01-01,1,1,132.18
68,2016-01-01,1,1,127.88
68,2017-01-01,1,1,125.26
68,2018-01-01,1,1,122.09
68,2019-01-01,1,1,120.26
68,2020-01-01,1,1,117.14
68,2021-01-01,1,1,114.83
